"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 17:24:17 UTC 2025","Tue May 13 17:24:18 UTC 2025","563","tests","test_create_courier","TestCreateCourier","","","Проверка создания курьера без логина",""
"passed","Tue May 13 17:24:25 UTC 2025","Tue May 13 17:24:26 UTC 2025","554","tests","test_login_courier","TestLoginCourier","","","Проверка логина курьера",""
"passed","Tue May 13 17:24:21 UTC 2025","Tue May 13 17:24:22 UTC 2025","751","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа на самокаты",""
"skipped","Tue May 13 17:24:19 UTC 2025","Tue May 13 17:24:19 UTC 2025","533","tests","test_create_courier","TestCreateCourier","","","Проверка создания курьера без имени",""
"passed","Tue May 13 17:24:27 UTC 2025","Tue May 13 17:24:27 UTC 2025","557","tests","test_login_courier","TestLoginCourier","","","Проверка логина курьера без пароля",""
"passed","Tue May 13 17:24:23 UTC 2025","Tue May 13 17:24:23 UTC 2025","581","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа на самокаты",""
"passed","Tue May 13 17:24:19 UTC 2025","Tue May 13 17:24:20 UTC 2025","1188","tests","test_create_courier","TestCreateCourier","","","Проверка повторного создания курьера с теми же данными",""
"passed","Tue May 13 17:24:20 UTC 2025","Tue May 13 17:24:21 UTC 2025","532","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа на самокаты",""
"passed","Tue May 13 17:24:27 UTC 2025","Tue May 13 17:24:28 UTC 2025","629","tests","test_login_courier","TestLoginCourier","","","Проверка логина несуществующего курьера",""
"passed","Tue May 13 17:24:16 UTC 2025","Tue May 13 17:24:17 UTC 2025","1627","tests","test_create_courier","TestCreateCourier","","","Проверка создания курьера",""
"passed","Tue May 13 17:24:22 UTC 2025","Tue May 13 17:24:23 UTC 2025","946","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа на самокаты",""
"passed","Tue May 13 17:24:18 UTC 2025","Tue May 13 17:24:19 UTC 2025","540","tests","test_create_courier","TestCreateCourier","","","Проверка создания курьера без пароля",""
"passed","Tue May 13 17:24:23 UTC 2025","Tue May 13 17:24:25 UTC 2025","2085","tests","test_get_orders","TestOrders","","","Проверка получения списка заказов",""
"passed","Tue May 13 17:24:26 UTC 2025","Tue May 13 17:24:27 UTC 2025","579","tests","test_login_courier","TestLoginCourier","","","Проверка логина курьера без логина",""
"passed","Tue May 13 17:24:26 UTC 2025","Tue May 13 17:24:26 UTC 2025","565","tests","test_login_courier","TestLoginCourier","","","Проверка логина курьера с неверным паролем",""
